id_interno;numero_proyecto;extracto;Fecha;Año;Estado;Proyecto;Expediente Electrónico;TEXTO ORIGINAL;Autores
3393;Proyecto N° 472;DECLARAR DE INTERES LEGISLATIVO EL DESEMPEÑO Y COMPROMISO DE LA BRIGADA DE INCLUSION, CONFORMADA POR LOS ALUMNOS DE 5TO GRADO DE LA ESCUELA MUNICIPAL N°2 NIVEL PRIMARIO DR. ROMIS AMADO RAIDEN, DEPARTAMENTO VALLE VIEJO.;2019-08-27;2019;ARCHIVADO;Declaración;;;
3394;Proyecto N° 473;DECLARESE DE INTERES PARLAMENTARIO EL EMPRENDIMIENTO TURISTICOCULTURAL MUSEO Y MONUMENTO A LA ZAMBA PAISAJE DE CATAMARCA.;2019-08-27;2019;ARCHIVADO;Declaración;;;
3395;Proyecto N° 474;DECLARASE DE INTERES LEGISLATIVO LA EXPO MUJER 2019, A REALIZARSE DEL 12 AL 15 DE SEPTIEMBRE EN EL PREDIO FERIAL CATAMARCA, EN EL MARCO DE LA EXPO PRODUCTIVA 2019.;2019-08-27;2019;ARCHIVADO;Declaración;;;
3396;Proyecto N° 475;DECLARESE DE INTERES PARLAMENTARIO, CULTURAL Y EDUCATIVO LA FIESTA PROVINCIAL DE LA ESCRITURA Y LA LECTURA, QUE SE LLEVO A CABO EN TODOS LOS NIVELES EDUCATIVOS DE LA PROVINCIA.;2019-08-29;2019;ARCHIVADO;Declaración;;;
3397;Proyecto N° 476;DECLARESE DE INTERES PARLAMENTARIO EL CONJUNTO DE ACCIONES Y DE POLITICAS PUBLICAS, CUYO PROPOSITO SEA LA INCLUSION DE LAS COMUNIDADES AISLADAS POR CARECER DE LOS SERVICIOS PUBLICOS MAS ELEMENTALES, PARTICULARMENTE EL SERVICIO DE ENERGIA.;2019-08-29;2019;ARCHIVADO;Declaración;;;
3398;Proyecto N° 477;DECLARAR MONUMENTO HISTORICO Y CULTURAL DE LA PROVINCIA DE CATAMARCA, A LAS RUINAS DE TUNELES  FERREOS  UBICADOS EN LA LOCALIDAD DE LA MERCED, DEPARTAMENTO PACLIN.;2019-08-29;2019;ARCHIVADO;Ley Provincial;;;
3399;Proyecto N° 478;SOLICITAR AL P.E.P. REMITA UN INFORME A TRAVES DEL MINISTERIO DE PRODUCCION Y DESARROLLO DE CATAMARCA SOBRE LA SITUACION AGROPECUARIA DE LAS ZONAS AFECTADAS POR LA PLAGA DE LANGOSTAS.;2019-08-29;2019;ARCHIVADO;Resolución;;;
3400;Proyecto N° 479;INSTAR AL SERVICIO NACIONAL DE SANIDAD Y CALIDAD AGROALIMENTARIA (SENASA), DELEGACION CATAMARCA, A PROPORCIONAR UN INFORME SOBRE LA SITUACION ACTUAL, RESPECTO AL CUMPLIMIENTO CON LO ESTIPULADO EN EL DECRETO NACIONAL 200/2019 Y QUE MEDIDAS FUERON TOMADAS EN LA PROVINCIA.;2019-08-30;2019;ARCHIVADO;Resolución;;;
3401;Proyecto N° 480;DECLARAR DE INTERES LEGISLATIVO LA PARTICIPACION DEL PROGRAMA PROVINCIAL DE ESCUELAS SALUDABLES, PERTENECIENTE A LOS MINISTERIOS DE SALUD Y EDUCACION DE LA PROVINCIA, DURANTE LA EXPO PRODUCTIVA 2019.;2019-08-30;2019;ARCHIVADO;Declaración;;;
3402;Proyecto N° 481;REGULAR EN EL AMBITO DE LA PROVINCIA DE CATAMARCA LAS ACTIVIDADES TECNICAS PROFESIONALES DE AYUDANTES PEDAGOGICOS.;2019-08-30;2019;ARCHIVADO;Ley Provincial;;;
